ID;SEXO;TIPO_COLEGIO;Puntaje Nem;Puntaje Ranking;Puntaje Lenguaje;PAES_M1;PAES_M2;Puntaje Historia;Puntaje Ciencias;Puntaje Prom;Puntaje Pond.;DIAG_MAT;AYG_240;AYG_24-2;C1_240;C1_24-2;AL_24-2;C2_24-2
221;M;1;757;757;589;917;563;514;503;753,00;762,20;0,64;4,34;0,00;5,25;0,00;3,56;4,70
222;M;2;870;945;434;593;330;0;372;513,50;675,15;0,19;4,36;0,00;4,79;0,00;3,70;4,50
223;M;2;765;769;742;797;466;712;0;769,50;754,85;0,26;4,36;0,00;5,23;0,00;4,94;4,50
224;M;2;842;880;775;700;413;638;597;737,50;755,15;0,26;4,37;0,00;3,38;5,69;5,33;0,00
225;M;3;695;714;651;669;366;388;438;660,00;645,05;0,10;4,38;0,00;3,24;0,00;3,70;4,00
226;M;3;695;714;651;669;366;388;438;660,00;645,05;0,10;4,38;0,00;3,24;0,00;3,70;4,00
227;F;2;551;551;496;688;452;492;562;592,00;589,60;0,52;4,42;0,00;3,96;0,00;2,00;1,40
228;M;3;685;685;696;576;393;515;415;636,00;616,35;0,17;4,43;0,00;3,36;0,00;5,00;4,40
229;M;3;685;685;696;576;393;515;415;636,00;616,35;0,17;4,43;0,00;3,36;0,00;5,00;4,40
230;M;3;685;685;696;576;393;515;415;636,00;616,35;0,17;4,43;0,00;3,36;0,00;5,00;4,40
231;M;2;722;725;726;844;422;0;581;785,00;736,90;0,52;4,43;0,00;3,77;0,00;4,00;4,20
232;M;2;907;915;584;811;379;502;582;697,50;784,60;0,29;4,44;0,00;4,77;0,00;3,67;4,70
233;M;3;599;602;701;761;475;0;524;731,00;653,10;0,52;4,46;0,00;5,23;0,00;4,96;5,18
234;M;3;599;602;701;761;475;0;524;731,00;653,10;0,52;4,46;0,00;5,23;0,00;4,96;5,18
235;M;2;965;1000;686;705;312;489;0;695,50;776,35;0,48;4,47;0,00;5,02;0,00;5,29;3,30
236;M;2;736;754;567;731;464;0;456;649,00;681,15;0,50;4,48;0,00;5,16;0,00;5,40;5,11
